"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","MT","PBU","INT","CTGT"
"","71370","","394992","","Domani Jackson","ALABAMA","01","CB","314","8","30","1","1","0","18"
"","72089","","382704","","DJ Harvey","USC","02","CB","87","5","4","1","1","0","12"
"","85725","","412246","","Jayden Dunlap","BYU","29","CB","58","5","1","1","0","0","3"
"","86877","","364258","","Ceyair Wright","NEBRASKA","01","CB","450","9","20","5","4","0","33"
"","90524","","400152","","Chance Tucker","NOTRE DAME","18","CB","16","2","0","0","0","0","0"
"","97886","","340893","","Mark Davis","VANDERBILT","17","CB","179","8","14","5","2","0","10"
"","99280","","349289","","Logan Wilson","CINCINNATI","07","CB","382","8","32","5","6","0","33"
"","101808","","330606","","Marlon Jones","VANDERBILT","00","CB","96","5","5","0","0","0","12"
"","121523","","347921","","Kenneth Harris","OKLA STATE","23","CB","510","9","21","12","6","0","43"
"","121668","","347715","","Channing Canada","TCU","07","CB","418","8","22","4","2","0","29"
"","121669","","347716","","Isaiah Cash","VA TECH","18","CB","350","9","31","2","1","1","37"
"","121780","","347942","","Devonte Golden-Nelson","W VIRGINIA","02","CB","8","2","1","0","0","0","1"
"","122103","","351554","","Rodney Johnson","LOUISVILLE","07","CB","17","3","0","1","0","0","1"
"","122146","","348205","","Fred Davis II","NWESTERN","02","CB","395","8","25","2","4","0","31"
"","122274","","351731","","A.J. McCarty","TEXAS TECH","01","CB","176","9","13","4","0","0","14"
"","122574","","348340","","Karon Prunty","WAKE","03","CB","489","8","26","3","5","1","36"
"","122629","","348256","","Caleb Anderson","MICHIGAN","13","CB","46","4","3","1","0","0","3"
"","122837","","348155","","Tony Grimes","PURDUE","00","CB","487","8","24","6","3","0","35"
"","122924","","348032","","Joshua Eaton","MICH STATE","07","CB","362","9","19","10","2","0","21"
"","122926","","350514","","DJ Graham II","KANSAS","07","CB","365","8","25","7","2","0","32"
"","123003","","348045","","Rashad Battle","PITTSBURGH","15","CB","279","7","34","2","2","0","33"
"","123015","","348072","","Buddy Mack III","S CAROLINA","11","CB","11","1","2","0","0","0","2"
"","123089","","351460","","Jai'Onte' McMillan","MINNESOTA","24","CB","233","8","12","1","1","0","20"
"","123745","","367681","","Jaiden Francois","DUKE","02","CB","386","8","37","6","1","0","20"
"","124304","","362929","","William Wright","TENNESSEE","00","CB","133","7","4","0","0","0","2"
"","124379","","352295","","Avery Helm","TCU","24","CB","70","3","5","0","1","0","12"
"","126328","","416049","","Maurion Horn","TEXAS TECH","04","CB","87","5","1","1","0","0","6"
"","127409","","395311","","Jayden Rowe","KANSAS ST","01","CB","12","2","0","1","0","0","1"
"","128013","","377241","","JK Johnson","OKLA STATE","01","CB","211","6","14","1","2","0","12"
"","128036","","406072","","Christian Gray","NOTRE DAME","06","CB","472","7","17","3","7","2","58"
"","129699","","350223","","Tamon Lynum","PITTSBURGH","08","CB","160","6","18","0","1","1","8"
"","129752","","371853","","Cameron Martinez","BOSTON COL","29","CB","116","4","8","3","0","0","10"
"","131462","","391385","","Preston Hodge","COLORADO","04","CB","626","9","33","7","6","0","60"
"","131596","","351646","","Treydan Stukes","ARIZONA","02","CB","341","6","30","3","1","2","21"
"","131899","","381093","","Elijah Jackson","TCU","25","CB","3","1","1","0","0","0","0"
"","139049","","352636","","Ivan Yates","COLORADO","29","CB","187","4","8","4","1","1","16"
"","141336","","368990","","Caleb Brown","VA TECH","17","CB","55","3","2","1","0","0","5"
"","142301","","353337","","Shakur Smalls","ARKANSAS","19","CB","138","9","14","1","3","0","13"
"","143957","","367711","","Dontae Balfour","TEXAS TECH","20","CB","269","8","15","1","5","0","23"
"","143972","","367713","","Dontavius Nash","MICH STATE","28","CB","148","5","13","3","2","0","18"
"","144177","","359857","","Kani Walker","ARKANSAS","13","CB","482","8","37","2","6","1","42"
"","144195","","366059","","DaShawn Jones","ALABAMA","07","CB","193","8","12","1","1","1","15"
"","144240","","366848","","Bryon Threats","UCLA","23","CB","32","5","3","0","0","0","2"
"","144405","","360255","","Jadon Canady","OREGON","22","CB","239","8","21","2","3","0","22"
"","144524","","385054","","Tevin Williams III","BAYLOR","27","CB","255","7","18","2","3","0","22"
"","144639","","362069","","Latrell McCutchin Sr.","HOUSTON","01","CB","551","9","46","5","7","0","39"
"","144659","","386205","","Kale Smith","OKLA STATE","10","CB","293","6","21","4","1","1","22"
"","144672","","383576","","Cam Smith","OKLA STATE","03","CB","428","9","29","3","3","0","29"
"","144814","","368436","","Tyler Strain","ILLINOIS","20","CB","123","6","9","2","1","0","9"
"","144956","","366293","","Charles Brantley","MIAMI FL","19","CB","18","2","1","0","0","0","0"
"","144961","","393323","","Khalil Majeed","MICH STATE","34","CB","28","3","1","1","0","0","3"
"","145045","","381654","","Theran Johnson","OREGON","05","CB","182","6","8","0","2","0","14"
"","145051","","360826","","Ore Adeyi","NWESTERN","07","CB","208","6","12","2","2","1","16"
"","145068","","359809","","Jantzen Dunn","KENTUCKY","10","CB","75","6","5","1","0","0","5"
"","145129","","361944","","Al-Shadee Salaam","RUTGERS","21","CB","133","7","11","1","1","0","12"
"","145161","","386690","","Owen Arnett","WISCONSIN","18","CB","7","1","0","0","0","0","1"
"","145169","","368458","","Ricardo Hallman","WISCONSIN","02","CB","459","8","24","8","4","1","37"
"","145889","","362695","","Torrie Cox Jr.","ILLINOIS","05","CB","457","9","33","8","3","0","53"
"","146043","","383951","","Julian Neal","ARKANSAS","23","CB","564","9","47","3","7","2","47"
"","146551","","360896","","Jaylin Davies","OKLA STATE","02","CB","10","1","1","0","0","0","0"
"","146607","","381512","","DeVonta Smith","NOTRE DAME","00","CB","109","4","4","1","1","0","11"
"","146674","","394639","","Ahmari Harvey","GA TECH","03","CB","305","6","21","2","4","0","23"
"","146705","","371857","","Jordan Young","ARKANSAS","04","CB","327","9","20","5","4","1","38"
"","146720","","366878","","Nyland Green","ARIZONA ST","15","CB","53","3","2","0","0","0","3"
"","146827","","361438","","Kyndrich Breedlove","ARIZONA ST","05","CB","434","9","30","6","3","0","32"
"","146885","","359821","","Daylan Carnell","MISSOURI","13","CB","340","8","22","6","0","1","23"
"","146989","","362765","","Tyreek Chappell","TEXAS A&M","07","CB","391","8","25","5","3","0","41"
"","146998","","377672","","Deuce Harmon","SMU","07","CB","540","9","24","1","7","0","37"
"","147007","","380032","","Drey Norwood","MISSOURI","12","CB","249","8","14","2","3","0","20"
"","147169","","407488","","Justin Agu","LOUISVILLE","13","CB","62","7","3","0","0","0","5"
"","147394","","368496","","Malcolm Bell","MICH STATE","14","CB","520","9","31","8","4","0","23"
"","148211","","377752","","Shahid Barros","IOWA","05","CB","20","2","0","0","0","0","1"
"","148570","","385453","","Ayden Garnes","ARIZONA","09","CB","380","8","17","5","3","1","27"
"","148854","","393262","","Jordan Washington","STANFORD","10","CB","116","6","11","1","1","0","11"
"","150691","","385469","","Wrook Brown","HOUSTON","24","CB","316","9","35","0","0","1","19"
"","150703","","362291","","Kolbey Taylor","VANDERBILT","03","CB","312","9","14","6","3","0","28"
"","156221","","386318","","Amari Jackson","BOSTON COL","24","CB","45","2","2","0","0","0","6"
"","156245","","388506","","Toriano Pride Jr.","MISSOURI","02","CB","288","8","12","0","1","1","30"
"","156246","","388497","","Sherrod Covil","VA TECH","07","CB","21","2","0","0","0","0","2"
"","156247","","388503","","Jeadyn Lukus","CLEMSON","10","CB","141","6","10","1","0","0","10"
"","156257","","386186","","Chandler Rivers","DUKE","00","CB","501","8","35","10","6","1","32"
"","156300","","388511","","Rodney Shelley","GA TECH","06","CB","250","7","18","2","1","1","22"
"","156315","","400890","","Rock Caldwell","UTAH","11","CB","63","5","7","1","1","0","4"
"","156360","","386003","","Ryland Gandy","INDIANA","10","CB","112","7","8","0","0","0","9"
"","156408","","391933","","Jamari Sharpe","INDIANA","22","CB","462","9","22","2","3","0","27"
"","156441","","386310","","TJ Hall","IOWA","02","CB","425","8","35","1","6","1","43"
"","156442","","406805","","Deshaun Lee","IOWA","08","CB","357","8","26","4","3","1","33"
"","156484","","391415","","Jyaire Brown","UCF","15","CB","26","4","0","1","1","0","2"
"","156485","","393508","","Ryan Turner","PURDUE","12","CB","73","5","9","2","1","0","6"
"","156487","","391423","","Kye Stokes","CINCINNATI","03","CB","18","3","1","1","0","0","1"
"","156555","","386026","","Hezekiah Masses","CAL","05","CB","596","9","33","8","10","5","54"
"","156676","","387082","","Matthew McDoom","CINCINNATI","00","CB","511","9","34","4","4","2","45"
"","156723","","386832","","Brent Austin","CAL","04","CB","560","9","33","3","8","0","39"
"","156809","","386353","","Jacobie Henderson","RUTGERS","10","CB","433","9","26","3","2","0","44"
"","156874","","400877","","Nasir Pogue","MISSOURI","31","CB","6","1","1","0","0","0","0"
"","156984","","407192","","Jayden Bellamy","UCF","29","CB","419","8","18","3","6","1","40"
"","157039","","386886","","JD Rhym","HOUSTON","03","CB","10","1","0","1","0","0","0"
"","157079","","386678","","Daylen Everette","GEORGIA","06","CB","415","7","31","2","5","0","39"
"","157116","","388783","","Jaelyn Davis-Robinson","SMU","13","CB","261","6","21","7","3","2","32"
"","157129","","385907","","Davison Igbinosun","OHIO STATE","01","CB","383","8","31","2","4","0","30"
"","157143","","387281","","DeCarlos Nicholson","USC","17","CB","362","8","28","1","1","1","37"
"","157256","","386756","","Jahlil Florence","OREGON","06","CB","19","1","0","0","0","0","0"
"","157276","","398471","","Collin Wright","STANFORD","06","CB","382","7","29","2","2","1","34"
"","157300","","385945","","Kyron Chambers","SMU","12","CB","274","8","20","2","2","0","28"
"","157307","","387209","","Jaylon Guilbeau","TEXAS","03","CB","495","9","35","8","1","1","45"
"","157406","","401499","","Jackson Vick","NC STATE","22","CB","399","6","23","10","2","0","41"
"","157447","","391686","","Isaiah Brown-Murray","VA TECH","25","CB","471","9","30","3","2","1","32"
