"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","TFL","TOT TKL","TPR","HU","BP"
"","64470","","407469","","Will Whitson","MISS STATE","43","ED","46","2","2","3","7","6","4","0"
"","71398","","391458","","Keanu Tanuvasa","BYU","57","DI","347","9","1","1","16","12","9","1"
"","72474","","350838","","Ian Shewell","ARIZONA ST","52","DI","9","1","0","0","1","0","0","0"
"","85774","","386692","","Gracen Halton","OKLAHOMA","56","DI","275","9","5","2","18","25","18","2"
"","90079","","304658","","David Reese","SYRACUSE","08","ED","452","10","2","1","28","26","22","1"
"","97761","","339680","","Zaylin Wood","VANDERBILT","15","DI","351","10","4","0","20","16","10","1"
"","97970","","342909","","Anthonie Cooper","ARIZONA ST","96","DI","103","8","1","0","4","6","4","0"
"","98121","","336446","","Richie Hagarty","NWESTERN","52","ED","206","8","1","1","11","6","4","0"
"","98192","","327972","","Immanuel Hickman Sr.","VA TECH","97","DI","141","9","0","0","9","2","1","0"
"","98193","","340610","","Quindarius Dunnigan","MICH STATE","99","ED","202","9","2","2","17","12","7","0"
"","98934","","349052","","Taurean Carter II","COLORADO","90","DI","45","5","0","0","2","0","0","0"
"","99105","","349668","","Brandon Mack II","HOUSTON","04","ED","409","10","4","1","26","17","9","0"
"","99726","","348082","","Nate Temple","PITTSBURGH","06","ED","144","8","0","1","8","3","1","0"
"","100324","","351198","","Blaine Spires","PITTSBURGH","10","ED","165","5","2","2","11","10","7","0"
"","100432","","351056","","Siale Taupaki","UCLA","92","DI","193","9","0","1","12","4","4","0"
"","100595","","389064","","Sitiveni Havili Kaufusi","OKLA STATE","17","DI","183","9","2","0","11","6","4","0"
"","101408","","328106","","Smith Vilbert","N CAROLINA","08","ED","386","9","1","3","22","18","16","0"
"","101456","","350546","","Jalen Hunt","CINCINNATI","90","ED","348","9","3","2","17","17","12","0"
"","101911","","387429","","Rushawn Lawrence","MINNESOTA","16","DI","238","9","2","2","18","9","7","0"
"","103655","","354544","","Logan Lutui","BYU","07","ED","356","9","1","2","37","9","6","1"
"","106446","","340041","","Clay Patterson","STANFORD","91","DI","349","10","5","1","23","22","11","1"
"","116043","","386274","","Tra Thomas","NC STATE","04","ED","250","9","2","2","22","12","6","0"
"","121726","","347901","","Jayshaun Coffman","LOUISVILLE","96","DI","13","1","0","0","1","1","1","0"
"","121837","","361069","","Jacob Busic","UCLA","97","ED","271","9","1","2","13","6","5","0"
"","122144","","348639","","DeMonte Capehart","CLEMSON","19","DI","267","9","1","2","18","10","8","2"
"","122165","","348231","","Tre Williams","MICHIGAN","00","DI","228","9","0","4","13","5","3","1"
"","122388","","348166","","Gary Smith III","UCLA","58","DI","406","9","1","1","31","5","4","0"
"","122491","","388750","","Jason Moore","GA TECH","95","DI","260","9","1","0","22","12","11","1"
"","122499","","349884","","Akelo Stone","GA TECH","07","DI","174","6","3","1","16","8","5","0"
"","122551","","348319","","Kenean Caldwell","KANSAS","97","DI","271","10","1","6","22","5","3","0"
"","122619","","388812","","Cody Stufflebean","KANSAS ST","47","ED","418","9","3","0","18","14","9","0"
"","122655","","371874","","Dominique Ratcliff","INDIANA","91","DI","170","10","0","4","10","9","8","0"
"","122665","","348822","","Ben Bell","VA TECH","33","ED","367","9","4","4","28","33","15","0"
"","122687","","349698","","Keveion'ta Spears","SMU","40","DI","244","10","1","3","16","5","2","3"
"","122703","","350089","","Jared Dawson","NOTRE DAME","93","DI","239","8","0","3","14","16","13","1"
"","122721","","378749","","Mason Reiger","WISCONSIN","22","ED","410","9","4","2","36","35","27","0"
"","122821","","367715","","Kedrick Bingley-Jones","MISS STATE","22","DI","269","10","0","0","19","6","6","1"
"","122894","","348559","","Jordan Botelho","NOTRE DAME","12","ED","221","9","1","0","20","14","12","0"
"","122903","","348814","","Aidan Keanaaina","CAL","47","DI","414","10","1","0","35","7","6","2"
"","123010","","348063","","Dayon Hayes","TEXAS A&M","50","ED","269","9","3","1","15","24","17","1"
"","123045","","349935","","Leon Lowery Jr.","ILLINOIS","09","ED","206","8","2","1","15","11","9","0"
"","123113","","348209","","Prince Dorbah","ARIZONA ST","32","ED","217","7","4","3","14","17","10","0"
"","123216","","349118","","Adonis Friloux","BAYLOR","91","DI","95","7","0","0","4","0","0","0"
"","123261","","348698","","Everitt Rogers","HOUSTON","97","DI","13","6","0","0","0","0","0","0"
"","123341","","351007","","Justin Beadles","LOUISVILLE","19","ED","144","9","0","0","10","1","1","0"
"","123343","","352055","","Alec Bryant","ILLINOIS","03","ED","270","9","1","0","17","10","6","0"
"","123371","","385609","","James Ash","AUBURN","98","DI","11","2","0","0","0","0","0","0"
"","123427","","348270","","Akheem Mesidor","MIAMI FL","03","ED","425","8","6","4","30","34","24","0"
"","123586","","350749","","Justin Wodtly","ARIZONA ST","95","ED","270","8","2","0","22","8","4","1"
"","123730","","349373","","Cam Williams","MICH STATE","44","ED","157","9","1","1","13","5","4","1"
