"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","70617","","453999","","Ethan Higgins","UCF","68","T","3","1","0","0","0","3"
"","72324","","400115","","Sonny Makasini","BYU","51","G","190","8","0","2","1","95"
"","73741","","385661","","Aluma Nkele","MINNESOTA","70","T","33","1","0","0","0","24"
"","74236","","386591","","Mason Murphy","AUBURN","76","T","597","9","10","12","3","265"
"","75288","","391427","","Tegra Tshabola","OHIO STATE","77","G","367","8","0","8","9","176"
"","81675","","350022","","Reuben Unije","UCLA","71","T","400","8","1","12","6","159"
"","86142","","351938","","Carson Lee","W VIRGINIA","55","C","140","6","0","0","4","95"
"","98070","","348784","","Tyler Brown","COLORADO","56","G","5","1","0","0","0","5"
"","98229","","349287","","Vic Cutler","LOUISVILLE","59","G","36","2","0","0","0","17"
"","98239","","324680","","Zion Nelson","SMU","60","T","104","4","0","1","1","41"
"","98550","","326024","","Adrian Medley","FLORIDA ST","76","G","484","8","1","14","9","252"
"","99041","","328249","","Jakai Moore","N CAROLINA","55","T","450","8","0","19","3","180"
"","99437","","349982","","Taylor Poitier","KANSAS ST","69","G","505","9","0","9","4","219"
"","100263","","330242","","Xavior Gray","NWESTERN","63","T","19","2","0","1","0","16"
"","100518","","351673","","Ben Coleman","ARIZONA ST","62","C","381","6","0","2","9","171"
"","101579","","336492","","Matthew Bedford","OREGON","77","G","79","5","0","0","2","50"
"","102324","","325715","","Keagen Trost","MISSOURI","79","T","572","8","2","5","4","269"
"","103865","","353924","","Evan Beerntsen","NWESTERN","60","G","530","8","0","4","6","275"
"","108560","","377348","","Michael Flores","LOUISVILLE","51","G","38","4","0","0","2","23"
"","121508","","374252","","Brady Wilson","VIRGINIA","76","C","383","6","1","4","0","174"
"","121781","","429525","","Rodney Newsom Jr.","S CAROLINA","65","C","179","6","3","1","3","77"
"","121819","","348728","","Lance Robinson","LOUISVILLE","53","G","504","8","2","3","3","200"
"","122156","","348220","","Walker Parks","CLEMSON","64","G","195","7","0","3","1","87"
"","122177","","348311","","Ty'Kieast Crawford","W VIRGINIA","74","T","497","8","2","13","8","281"
"","122253","","383950","","Markell Samuel","OKLA STATE","70","T","76","1","0","1","0","38"
"","122451","","352088","","Rasheed Miller","LOUISVILLE","60","T","518","8","2","11","8","209"
"","122526","","349496","","Tyler Miller","IOWA STATE","66","T","610","9","1","7","7","281"
"","122543","","350533","","Ar'maj Reed-Adams","TEXAS A&M","55","G","460","8","0","10","6","227"
"","122626","","349640","","Carver Willis","WASHINGTON","50","T","271","5","1","7","3","129"
"","122692","","350087","","Kobe Baynes","KANSAS","70","G","547","9","0","11","8","244"
"","122700","","349420","","Austin Collins","SYRACUSE","51","C","479","8","3","9","1","175"
"","122856","","373304","","Anthony Carter Jr.","NC STATE","75","G","399","7","0","10","4","182"
"","122874","","391493","","Matt McCabe","NC STATE","66","G","1","1","0","0","0","1"
"","122916","","350506","","Nate Anderson","SMU","69","G","122","9","0","2","5","48"
"","122956","","348579","","Cade Bennett","TCU","60","G","333","7","1","6","7","117"
"","123125","","352288","","Logan Parr","SMU","71","G","442","9","0","4","4","174"
"","123265","","348711","","Dillon Wade","AUBURN","52","G","530","9","1","11","6","229"
"","123396","","348262","","Luke Petitbon","FLORIDA ST","51","C","519","8","0","1","6","263"
"","123401","","348263","","George Sell","WAKE","77","G","525","8","1","7","7","217"
"","123439","","348296","","Jordan White","VANDERBILT","53","C","533","9","1","10","5","217"
"","123458","","349616","","David Ndukwe","HOUSTON","77","T","25","2","0","2","0","14"
"","123530","","362193","","Dwayne Allick","BOSTON COL","53","C","222","4","0","9","2","70"
"","123537","","362222","","Kevin Cline","BOSTON COL","79","T","499","8","2","12","5","184"
"","123561","","366856","","Gavin Gerhardt","CINCINNATI","53","C","532","9","0","4","6","250"
"","123577","","348759","","Jake Renfro","WISCONSIN","57","C","225","4","1","2","6","120"
"","123682","","386807","","Trevonte Sylvester","LOUISVILLE","70","T","251","6","0","5","2","117"
"","123732","","351367","","Patrick Barnett","UCF","50","G","33","2","0","0","0","21"
"","123761","","349113","","Paul Rubelt","UCF","69","T","392","7","1","5","4","164"
"","123886","","349196","","Chase Mitchell","VANDERBILT","50","G","506","9","0","10","5","211"
"","123915","","351584","","Damieon George Jr.","FLORIDA","70","G","413","8","1","7","5","179"
"","123963","","372755","","Jalen St. John","PURDUE","74","G","443","8","1","8","4","182"
"","124008","","350031","","Jeremiah Wright","AUBURN","77","G","551","9","5","12","7","246"
