"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","SK","HU","TKL ALL","Runs"
"","70617","","453999","","Ethan Higgins","UCF","68","T","3","1","0","0","0","3"
"","72324","","400115","","Sonny Makasini","BYU","51","G","270","10","0","4","1","132"
"","73741","","385661","","Aluma Nkele","MINNESOTA","70","T","33","1","0","0","0","24"
"","74236","","386591","","Mason Murphy","AUBURN","76","T","683","10","10","15","4","293"
"","75288","","391427","","Tegra Tshabola","OHIO STATE","77","G","458","10","0","10","12","218"
"","81675","","350022","","Reuben Unije","UCLA","71","T","495","10","2","16","7","201"
"","86142","","351938","","Carson Lee","W VIRGINIA","55","C","140","6","0","0","4","95"
"","98070","","348784","","Tyler Brown","COLORADO","56","G","5","1","0","0","0","5"
"","98229","","349287","","Vic Cutler","LOUISVILLE","59","G","37","3","0","0","0","18"
"","98239","","324680","","Zion Nelson","SMU","60","T","113","5","0","1","1","48"
"","98550","","326024","","Adrian Medley","FLORIDA ST","76","G","623","10","1","17","9","310"
"","99041","","328249","","Jakai Moore","N CAROLINA","55","T","558","10","0","22","7","225"
"","99437","","349982","","Taylor Poitier","KANSAS ST","69","G","548","10","0","9","4","238"
"","100263","","330242","","Xavior Gray","NWESTERN","63","T","19","2","0","1","0","16"
"","100518","","351673","","Ben Coleman","ARIZONA ST","62","C","381","6","0","2","9","171"
"","101579","","336492","","Matthew Bedford","OREGON","77","G","82","6","0","0","2","53"
"","102324","","325715","","Keagen Trost","MISSOURI","79","T","687","10","2","5","5","337"
"","103865","","353924","","Evan Beerntsen","NWESTERN","60","G","639","10","0","5","7","321"
"","108560","","377348","","Michael Flores","LOUISVILLE","51","G","38","4","0","0","2","23"
"","121508","","374252","","Brady Wilson","VIRGINIA","76","C","525","8","1","6","3","240"
"","121781","","429525","","Rodney Newsom Jr.","S CAROLINA","65","C","181","7","3","1","3","77"
"","121819","","348728","","Lance Robinson","LOUISVILLE","53","G","637","10","3","7","5","259"
"","122156","","348220","","Walker Parks","CLEMSON","64","G","266","9","0","4","4","119"
"","122177","","348311","","Ty'Kieast Crawford","W VIRGINIA","74","T","653","10","3","13","10","370"
"","122253","","383950","","Markell Samuel","OKLA STATE","70","T","76","1","0","1","0","38"
"","122451","","352088","","Rasheed Miller","LOUISVILLE","60","T","651","10","2","14","10","268"
"","122526","","349496","","Tyler Miller","IOWA STATE","66","T","677","10","1","7","9","322"
"","122543","","350533","","Ar'maj Reed-Adams","TEXAS A&M","55","G","533","10","0","11","6","251"
"","122626","","349640","","Carver Willis","WASHINGTON","50","T","402","7","1","12","3","185"
"","122692","","350087","","Kobe Baynes","KANSAS","70","G","620","10","0","11","9","282"
"","122700","","349420","","Austin Collins","SYRACUSE","51","C","479","8","3","9","1","175"
"","122856","","373304","","Anthony Carter Jr.","NC STATE","75","G","420","8","0","11","4","189"
"","122874","","391493","","Matt McCabe","NC STATE","66","G","1","1","0","0","0","1"
"","122916","","350506","","Nate Anderson","SMU","69","G","122","9","0","2","5","48"
"","122956","","348579","","Cade Bennett","TCU","60","G","462","9","1","8","8","166"
"","123125","","352288","","Logan Parr","SMU","71","G","448","10","0","4","5","178"
"","123265","","348711","","Dillon Wade","AUBURN","52","G","616","10","1","12","7","257"
"","123396","","348262","","Luke Petitbon","FLORIDA ST","51","C","658","10","0","5","7","321"
"","123401","","348263","","George Sell","WAKE","77","G","654","10","1","7","9","292"
"","123439","","348296","","Jordan White","VANDERBILT","53","C","605","10","1","10","5","246"
