"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","ATT","YCO","RB YCO/ATT","10+ RUSH","MTF RUN"
"","72376","","338868","","Cam Davis","MINNESOTA","23","HB","148","10","33","80","2.4","1","3"
"","76606","","304710","","Jalynn Williams","PITTSBURGH","35","HB","18","3","4","14","3.5","0","2"
"","78573","","325746","","Solomon Vanhorse","INDIANA","18","HB","11","5","10","25","2.5","1","1"
"","97303","","328073","","Enoch Nawahine","BYU","21","HB","72","6","11","26","2.4","0","0"
"","100835","","339690","","Oscar Adaway III","S CAROLINA","27","HB","166","10","39","101","2.6","2","8"
"","121492","","386880","","Justin Jones","AUBURN","35","HB","11","3","3","5","1.7","0","0"
"","122234","","348414","","Anderson Castle","DUKE","04","HB","212","10","70","225","3.2","8","10"
"","122318","","348884","","Braydon Bennett","VA TECH","24","HB","28","4","4","8","2.0","0","1"
"","122562","","348328","","Daniel Hishaw Jr.","KANSAS","09","HB","313","8","98","265","2.7","9","35"
"","122936","","349387","","Seth McGowan","KENTUCKY","03","HB","343","9","156","428","2.7","13","33"
"","123472","","348307","","Noah Whittington","OREGON","06","HB","196","8","77","343","4.5","12","23"
"","123680","","362514","","Stacy Sneed","HOUSTON","21","HB","105","7","35","88","2.5","5","7"
"","123939","","349220","","Roydell Williams","FLORIDA ST","05","HB","54","4","7","11","1.6","0","0"
"","124231","","360125","","Bradley Dunn","S CAROLINA","32","HB","1","1","0","0","0","0","0"
"","126959","","386285","","Alex Broome","BOSTON COL","20","HB","43","4","7","9","1.3","0","1"
"","127442","","361740","","AJ Green","ARKANSAS","20","HB","10","2","3","2","0.7","1","0"
"","129487","","351480","","Leshon Williams","KANSAS","04","HB","238","9","81","304","3.8","11","23"
"","129707","","361372","","Will Nixon","SYRACUSE","24","HB","343","10","77","215","2.8","7","9"
"","129732","","350483","","Cam Porter","NWESTERN","04","HB","59","2","20","110","5.5","4","4"
"","129782","","350267","","Caziah Holmes","FLORIDA ST","26","HB","36","7","18","51","2.8","3","3"
"","129914","","351341","","Jalen Berger","UCLA","00","HB","190","10","68","219","3.2","5","11"
"","130386","","351199","","Terion Stewart","VA TECH","08","HB","166","8","72","371","5.2","13","36"
"","130584","","351172","","Harrison Waylee","VIRGINIA","21","HB","141","10","75","284","3.8","11","8"
"","131674","","351415","","Shaadie Clayton-Johnson","SMU","24","HB","17","4","6","19","3.2","0","1"
"","131782","","351839","","EJ Smith","TEXAS A&M","22","HB","94","8","36","116","3.2","6","9"
"","138448","","352864","","Kaelon Black","INDIANA","08","HB","275","11","114","405","3.5","16","19"
"","142276","","353324","","Freddie Brock IV","OKLA STATE","25","HB","38","3","13","29","2.2","1","1"
"","143866","","362167","","Jaquez Moore","DUKE","09","HB","88","8","39","109","2.8","5","7"
"","143876","","367803","","CJ Campbell Jr.","RUTGERS","05","HB","48","3","23","86","3.7","4","5"
"","143915","","388514","","Daylon Gordon","GA TECH","21","HB","15","4","4","21","5.3","1","1"
"","143918","","362505","","Jamal Haynes","GA TECH","01","HB","368","10","103","300","2.9","10","13"
"","143964","","362385","","Caleb Hood","N CAROLINA","04","HB","85","5","16","32","2.0","0","0"
"","144099","","396171","","P.J. Prioleau","VA TECH","20","HB","59","7","13","36","2.8","1","1"
