"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","INT","CTGT"
"","72338","","407179","","Raider Damuni","BYU","03","S","202","6","24","0","3","1","9"
"","74395","","405990","","Zion Branch","GEORGIA","02","S","97","4","13","0","1","0","6"
"","86298","","359586","","Blake Ruffin","LOUISVILLE","29","S","42","3","6","0","1","0","1"
"","86773","","396193","","Jackson Schulz","KENTUCKY","29","S","2","2","0","0","0","0","0"
"","97543","","340590","","Jett Elad","RUTGERS","09","S","498","9","57","2","14","1","16"
"","98867","","328077","","Jalen Catalon","MISSOURI","06","S","252","8","27","0","3","0","8"
"","99757","","336480","","Antonio Clary","VIRGINIA","00","S","126","6","14","0","1","1","3"
"","121728","","349909","","JoJo Evans Jr.","LOUISVILLE","27","S","381","7","39","0","4","2","15"
"","121757","","347935","","An'Darius Coffey","PURDUE","24","S","125","8","11","1","4","0","12"
"","122163","","348230","","Tyler Venables","CLEMSON","24","S","29","3","2","0","0","0","2"
"","122278","","349164","","Devin Neal","VIRGINIA","27","S","358","9","55","1","3","0","19"
"","122855","","348688","","Devan Boykin","INDIANA","12","S","363","9","29","2","0","1","32"
"","122928","","350516","","Justin Harrington","W VIRGINIA","08","S","78","6","4","0","1","0","4"
"","123066","","349435","","Bud Clark","TCU","21","S","564","8","44","1","9","2","37"
"","123103","","348171","","Xavion Alford","ARIZONA ST","02","S","122","2","9","0","1","0","1"
"","123370","","348236","","Nick Andersen","WAKE","45","S","526","8","67","4","8","0","19"
"","123466","","350213","","Kendrick Simpkins","BAYLOR","16","S","268","8","19","1","1","0","17"
"","123931","","351586","","Jahquez Robinson","AUBURN","05","S","280","9","22","0","7","0","18"
"","123962","","349061","","Myles Slusher","PURDUE","09","S","372","8","56","1","10","1","17"
"","124286","","349043","","Key Lawrence","UCLA","04","S","516","8","48","2","16","1","18"
"","124387","","349583","","Mordecai McDaniel","OKLA STATE","32","S","287","8","37","1","6","0","13"
"","125313","","349854","","Cole Wisniewski","TEXAS TECH","05","S","506","9","45","3","6","0","21"
"","128402","","360135","","Crew Wakley","PURDUE","07","S","60","3","11","1","1","0","5"
"","129334","","407717","","Mose Phillips III","MISSOURI","03","S","55","3","2","1","0","0","2"
"","129403","","350211","","Jordan Walker","W VIRGINIA","04","S","100","7","18","2","7","1","7"
"","129727","","350468","","Gunner Maldonado","KANSAS ST","03","S","302","9","31","0","7","2","10"
"","129939","","351350","","Preston Zachman","WISCONSIN","14","S","116","3","12","0","1","2","7"
"","131875","","351714","","Nate Ritchie","UTAH","06","S","219","5","27","4","11","0","15"
"","131892","","351649","","Makell Esteen","WASHINGTON","24","S","495","8","43","0","8","3","20"
"","133060","","412556","","Brenden Jordan","TEXAS TECH","07","S","497","9","31","0","1","1","24"
"","138115","","352932","","Jy Gilmore","GA TECH","14","S","361","7","26","2","6","0","17"
"","142177","","354546","","Kavir Bains-Marquez","PITTSBURGH","23","S","403","9","36","2","5","1","33"
"","143851","","362325","","Placide Djungu-Sungu","BAYLOR","20","S","3","1","0","0","0","0","0"
"","143874","","368354","","Shyheim Brown","FLORIDA ST","01","S","152","7","20","0","4","0","7"
"","143898","","382561","","Hunter Washington","MISS STATE","21","S","294","9","30","0","3","1","17"
"","143959","","362860","","DeAndre Boykins","OKLA STATE","15","S","1","1","0","0","0","0","0"
