"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","TOT TKL","TFL","MT","INT","CTGT"
"","72338","","407179","","Raider Damuni","BYU","03","S","270","8","31","0","6","1","11"
"","74395","","405990","","Zion Branch","GEORGIA","02","S","158","6","17","0","1","0","8"
"","86298","","359586","","Blake Ruffin","LOUISVILLE","29","S","45","5","6","0","1","0","1"
"","86773","","396193","","Jackson Schulz","KENTUCKY","29","S","19","4","2","0","0","0","0"
"","97543","","340590","","Jett Elad","RUTGERS","09","S","555","10","60","2","16","2","17"
"","98867","","328077","","Jalen Catalon","MISSOURI","06","S","307","10","33","0","4","0","11"
"","99757","","336480","","Antonio Clary","VIRGINIA","00","S","159","8","16","0","1","1","7"
"","121728","","349909","","JoJo Evans Jr.","LOUISVILLE","27","S","493","9","44","0","5","2","22"
"","121757","","347935","","An'Darius Coffey","PURDUE","24","S","125","8","11","1","4","0","12"
"","122163","","348230","","Tyler Venables","CLEMSON","24","S","29","3","2","0","0","0","2"
"","122278","","349164","","Devin Neal","VIRGINIA","27","S","434","11","70","1","5","0","21"
"","122855","","348688","","Devan Boykin","INDIANA","12","S","410","11","34","2","2","2","37"
"","122928","","350516","","Justin Harrington","W VIRGINIA","08","S","78","6","4","0","1","0","4"
"","123066","","349435","","Bud Clark","TCU","21","S","664","10","54","1","9","4","43"
"","123103","","348171","","Xavion Alford","ARIZONA ST","02","S","122","2","9","0","1","0","1"
"","123370","","348236","","Nick Andersen","WAKE","45","S","655","10","80","4","8","0","23"
"","123466","","350213","","Kendrick Simpkins","BAYLOR","16","S","292","9","20","1","1","0","18"
"","123931","","351586","","Jahquez Robinson","AUBURN","05","S","324","10","30","0","7","0","24"
"","123962","","349061","","Myles Slusher","PURDUE","09","S","460","10","65","1","13","1","18"
"","124286","","349043","","Key Lawrence","UCLA","04","S","636","10","63","4","20","1","21"
"","124387","","349583","","Mordecai McDaniel","OKLA STATE","32","S","287","8","37","1","6","0","13"
"","125313","","349854","","Cole Wisniewski","TEXAS TECH","05","S","623","11","61","3","8","0","26"
"","128402","","360135","","Crew Wakley","PURDUE","07","S","60","3","11","1","1","0","5"
"","129334","","407717","","Mose Phillips III","MISSOURI","03","S","102","5","5","1","1","0","6"
"","129403","","350211","","Jordan Walker","W VIRGINIA","04","S","100","7","18","2","7","1","7"
"","129727","","350468","","Gunner Maldonado","KANSAS ST","03","S","359","10","38","1","9","2","10"
"","129939","","351350","","Preston Zachman","WISCONSIN","14","S","116","3","12","0","1","2","7"
"","131875","","351714","","Nate Ritchie","UTAH","06","S","219","5","27","4","11","0","15"
