"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","TKL ALL","REC YCo","CTC"
"","52545","","380438","","Joe Royer","CINCINNATI","11","TE","463","10","24","5","133","2"
"","71325","","386498","","Boden Groen","KANSAS","88","TE","439","10","31","8","61","0"
"","74638","","393302","","Jack Monday","KENTUCKY","83","TE","7","2","0","0","0","0"
"","98371","","327924","","Brett Seither","GA TECH","80","TE","187","9","8","2","17","0"
"","100658","","352089","","Hudson Habermehl","UCLA","81","TE","377","10","16","5","20","1"
"","122147","","348206","","Sage Ennis","VIRGINIA","00","TE","466","10","16","7","35","1"
"","122398","","348398","","Markeston Douglas","FLORIDA ST","87","TE","246","10","2","4","12","0"
"","122515","","349479","","DeShawn Hanika","KANSAS","18","TE","110","5","10","1","12","1"
"","122563","","351048","","Will Huggins","OKLAHOMA","81","TE","87","6","3","3","2","0"
"","122608","","349980","","Christian Moore","PURDUE","44","TE","223","11","2","5","0","0"
"","122620","","349983","","Will Swanson","KANSAS ST","83","TE","194","10","4","3","14","0"
"","122993","","348629","","Quinton Stewart","OKLA STATE","82","TE","238","8","3","5","5","0"
"","123069","","351781","","Chase Curtis","TCU","81","TE","292","10","9","2","16","1"
"","123162","","386206","","Jayden York","HOUSTON","13","TE","18","3","0","0","0","0"
"","123985","","351587","","Brandon Frazier","AUBURN","87","TE","395","9","13","3","25","0"
"","123992","","350692","","Tate Johnson","AUBURN","42","TE","66","10","0","0","0","0"
"","125950","","406929","","Luke Hasz","OLE MISS","09","TE","99","8","2","5","6","0"
"","127157","","388700","","Lance Mason","WISCONSIN","86","TE","427","10","24","6","46","1"
"","127250","","387221","","RJ Maryland","SMU","82","TE","263","10","22","2","53","1"
"","128333","","350572","","Sam Olson","ARIZONA","84","TE","351","10","15","5","17","1"
"","128361","","350800","","Alex Lines","NWESTERN","88","TE","114","8","4","0","6","0"
"","128793","","420379","","Zach Ortwerth","IOWA","48","TE","203","10","7","4","16","0"
"","129407","","367779","","Josh Beetham","GA TECH","17","TE","223","10","5","6","14","0"
"","129581","","350312","","Matthew Hibner","SMU","88","TE","525","10","21","7","43","5"
"","129602","","350354","","Dan Villari","SYRACUSE","89","TE","660","10","34","9","93","3"
"","129676","","379269","","Nate Boerkircher","TEXAS A&M","87","TE","382","10","16","5","28","3"
"","129738","","350493","","Hunter Welcing","NWESTERN","84","TE","311","10","20","5","36","1"
"","129747","","350234","","Patrick Gurd","CINCINNATI","21","TE","156","10","2","6","22","0"
"","129928","","350645","","Riley Nowakowski","INDIANA","37","TE","573","11","25","9","105","3"
"","130512","","351305","","James Bomba","INDIANA","48","TE","48","7","0","0","0","0"
"","131748","","351266","","Jake Overman","PITTSBURGH","87","TE","182","8","8","1","22","0"
"","131915","","351411","","Sav'ell Smalls","COLORADO","31","TE","9","3","0","0","0","0"
"","144034","","386036","","Jake Renda","UCLA","88","TE","5","2","0","0","0","0"
"","144060","","391445","","Landon Morris","CAL","81","TE","90","10","6","2","6","1"
"","144134","","412117","","Banks Pope","CLEMSON","44","TE","7","2","0","0","0","0"
"","144230","","386695","","Chamon Metayer","ARIZONA ST","07","TE","598","10","38","11","74","5"
"","144358","","381012","","Stone Eby","SMU","44","TE","143","10","0","2","0","0"
"","144546","","385191","","Tyler Moore","IOWA STATE","82","TE","287","10","6","3","47","2"
"","144696","","362475","","DJ Rogers","TCU","00","TE","403","10","31","7","98","4"
"","144930","","372002","","Max Bredeson","MICHIGAN","44","TE","302","10","1","3","2","0"
"","144979","","385296","","Jameson Geers","MINNESOTA","86","TE","372","10","21","5","29","4"
"","144993","","361601","","Heinrich Haarberg","NEBRASKA","10","TE","170","10","8","4","13","1"
"","145044","","361914","","Lawson Albright","NWESTERN","86","TE","344","10","6","8","7","2"
"","145087","","362832","","Khalil Dinkins","PENN STATE","16","TE","413","10","14","17","23","2"
"","145117","","385034","","Drew Biber","MINNESOTA","87","TE","234","10","14","2","21","2"
"","145157","","383873","","Jackson Acker","WISCONSIN","34","TE","245","10","6","11","23","0"
"","145465","","383235","","Brody Dalton","ALABAMA","89","TE","13","4","0","0","0","0"
"","145578","","368393","","Colin Weber","RUTGERS","18","TE","344","10","17","6","21","1"
"","145631","","368542","","Brady Hunt","S CAROLINA","87","TE","364","10","17","8","25","1"
"","145747","","386394","","Andreas Paaske","ARKANSAS","81","TE","76","5","4","0","10","0"
"","145753","","399064","","Cole Rusk","ILLINOIS","14","TE","130","10","17","2","16","4"
"","145896","","366529","","Will Kacmarek","OHIO STATE","89","TE","359","10","7","6","8","0"
"","146008","","361684","","Tanner Arkin","ILLINOIS","85","TE","530","10","9","10","14","0"
"","146130","","360297","","Trace Bruckler","OLE MISS","85","TE","182","10","5","3","9","0"
"","146163","","393579","","Cameron Harpole","ARIZONA ST","09","TE","365","10","11","2","16","1"
"","146224","","362928","","Otto Tia","UTAH","05","TE","64","8","2","1","0","0"
"","146300","","364243","","Jeffrey Johnson","CAL","86","TE","197","10","3","9","4","1"
"","146347","","387168","","J.T. Byrne","GA TECH","88","TE","290","10","4","7","4","0"
"","146410","","362015","","Michael Trigg","BAYLOR","01","TE","521","10","43","10","140","6"
"","146418","","383416","","Lake McRee","USC","87","TE","587","10","24","12","81","7"
"","146475","","379109","","Quentin Moore","WASHINGTON","88","TE","188","9","4","2","10","0"
"","146664","","362211","","Landen King","DUKE","00","TE","174","9","13","3","12","2"
"","146743","","361071","","Jordan Dingle","S CAROLINA","05","TE","258","10","11","1","21","0"
"","147013","","362807","","Eli Stowers","VANDERBILT","09","TE","364","10","52","2","112","5"
"","147046","","377123","","Seydou Traore","MISS STATE","08","TE","606","11","31","5","61","1"
"","147417","","386496","","Eni Falayi","WAKE","84","TE","476","9","16","11","26","2"
"","147507","","369257","","Ethan Erickson","BYU","87","TE","32","8","0","1","0","0"
"","147570","","363545","","Josh Cuevas","ALABAMA","80","TE","512","10","31","7","100","3"
"","148343","","383475","","Johncarlos Miller II","TEXAS TECH","09","TE","465","11","9","7","9","2"
"","148768","","396852","","Emmanuel Adebi","VANDERBILT","45","TE","99","10","0","1","0","0"
"","150160","","380163","","Bauer Sharp","LSU","10","TE","460","10","22","9","32","3"
