"Rank","Player Id","Player GSIS","Player College GSIS","Player Sportradar Id","Name","Team","#","POS","SNAPS","GAMES","REC","EXPL","YAC","CTC"
"","54221","","360931","","Sterling Berkhalter","WAKE","04","WR","341","8","19","6","71","6"
"","70721","","391869","","Kevin Green Jr.","WASHINGTON","00","WR","31","5","0","0","0","0"
"","71698","","406267","","Jayden Dixon-Veal","CAL","10","WR","50","6","2","0","2","0"
"","72336","","450569","","Rowan Reay","BYU","29","WR","21","1","1","0","1","1"
"","86525","","408040","","Camden Jordan","INDIANA","89","WR","9","4","0","0","0","0"
"","97105","","329370","","Cam Ross","VIRGINIA","06","WR","326","8","34","10","201","1"
"","97171","","350216","","Alante Brown","MICH STATE","00","WR","3","2","0","0","0","0"
"","97321","","336987","","Ryan Davis","UTAH","09","WR","512","9","56","11","203","4"
"","97813","","340213","","Donavon Greene","VA TECH","03","WR","431","9","16","7","105","3"
"","121426","","347789","","Caullin Lacy","LOUISVILLE","05","WR","465","8","45","8","294","2"
"","121734","","351876","","EJ Horton Jr.","PURDUE","13","WR","275","8","20","4","65","1"
"","122164","","348233","","E.J. Williams Jr.","INDIANA","07","WR","407","9","26","6","78","5"
"","122519","","348208","","Daniel Jackson","IOWA STATE","16","WR","3","1","0","0","0","0"
"","122707","","350090","","Christian Fitzpatrick","OKLA STATE","16","WR","141","7","9","3","23","1"
"","123051","","349936","","Trebor Pena","PENN STATE","08","WR","356","8","27","5","143","2"
"","123090","","349453","","Caleb Medford","KANSAS ST","88","WR","11","5","0","0","0","0"
"","123276","","348113","","Sincere Brown","COLORADO","09","WR","438","9","17","6","192","2"
"","123418","","349339","","Preston Fox","W VIRGINIA","29","WR","109","8","4","1","7","1"
"","123874","","348831","","CJ Daniels","MIAMI FL","07","WR","335","7","34","8","131","7"
"","124207","","350680","","J.J. Hester","KENTUCKY","04","WR","145","7","7","0","25","0"
"","124211","","350681","","Ja'Mori Maclin","KENTUCKY","09","WR","287","7","12","3","46","0"
"","124519","","412708","","Joshua Manning","MISSOURI","00","WR","407","8","22","5","95","3"
"","124972","","384824","","Logan Muckey","MISSOURI","82","WR","37","5","0","0","0","0"
"","125137","","428462","","Kendrick Bell","MICHIGAN","10","WR","44","6","1","1","15","0"
"","126530","","360784","","Karate Brenson","WAKE","14","WR","54","4","1","1","14","0"
"","127145","","386858","","Jay Fair","USC","09","WR","52","6","1","0","1","0"
"","127787","","361700","","Jaden Bray","W VIRGINIA","05","WR","72","2","7","1","25","2"
"","128916","","366502","","Taylor Spierto","FLORIDA","30","WR","15","1","1","0","0","0"
"","129427","","351355","","Deuce Spann","PITTSBURGH","07","WR","238","9","13","5","82","2"
